timestamp,generation,median,win_rate,max,min,bust_rate,mean,sd,seed,filename
20250813_021836,8,0.00,0.0520,0,0,0.7512,7.6780,5.7736,50,gen008_med0.00_win05_max0_min0_20250813_021836.json
20250813_021845,9,0.00,0.0580,0,0,0.7476,7.8060,6.3189,51,gen009_med0.00_win05_max0_min0_20250813_021845.json
20250813_021858,10,0.00,0.0600,0,0,0.7604,7.4360,6.1151,52,gen010_med0.00_win06_max0_min0_20250813_021858.json
20250813_021910,11,0.00,0.0520,0,0,0.7584,7.5020,6.2860,53,gen011_med0.00_win05_max0_min0_20250813_021910.json
20250813_021918,12,0.00,0.0460,0,0,0.7568,7.4680,6.0104,54,gen012_med0.00_win04_max0_min0_20250813_021918.json
20250813_021926,13,0.00,0.0480,0,0,0.7592,7.4580,5.9639,55,gen013_med0.00_win04_max0_min0_20250813_021926.json
20250813_021934,14,0.00,0.0560,0,0,0.7472,7.8680,6.2366,56,gen014_med0.00_win05_max0_min0_20250813_021934.json
20250813_021941,15,0.00,0.0580,0,0,0.7532,7.6760,6.0600,57,gen015_med0.00_win05_max0_min0_20250813_021941.json
20250813_021949,16,0.00,0.0640,0,0,0.7620,7.3440,5.9617,58,gen016_med0.00_win06_max0_min0_20250813_021949.json
20250813_021957,17,0.00,0.0580,0,0,0.7580,7.5860,6.2337,59,gen017_med0.00_win05_max0_min0_20250813_021957.json
20250813_022005,18,0.00,0.0580,0,0,0.7484,7.7760,5.8670,60,gen018_med0.00_win05_max0_min0_20250813_022005.json
20250813_022013,19,0.00,0.0520,0,0,0.7700,7.2600,6.1342,61,gen019_med0.00_win05_max0_min0_20250813_022013.json
20250813_022021,20,0.00,0.0600,0,0,0.6624,8.6000,5.6523,62,gen020_med0.00_win06_max0_min0_20250813_022021.json
20250813_022029,21,0.00,0.0540,0,0,0.7404,7.9000,6.0549,63,gen021_med0.00_win05_max0_min0_20250813_022029.json
20250813_022037,22,0.00,0.0520,0,0,0.7484,7.7640,6.4983,64,gen022_med0.00_win05_max0_min0_20250813_022037.json
20250813_022045,23,0.00,0.0560,0,0,0.7600,7.3080,6.2454,65,gen023_med0.00_win05_max0_min0_20250813_022045.json
20250813_022930,1,0.00,0.0520,0,0,0.6144,13.3480,30.2126,43,gen001_med0.00_win05_max0_min0_20250813_022930.json
20250813_022942,2,0.00,0.0560,0,0,0.6272,13.7900,32.0036,44,gen002_med0.00_win05_max0_min0_20250813_022942.json
20250813_022954,3,0.00,0.0500,0,0,0.6116,17.9280,57.6186,45,gen003_med0.00_win05_max0_min0_20250813_022954.json
20250813_023007,4,0.00,0.0580,0,0,0.6080,19.9120,65.3717,46,gen004_med0.00_win05_max0_min0_20250813_023007.json
20250813_023019,5,0.00,0.0420,0,0,0.6108,19.6460,81.0758,47,gen005_med0.00_win04_max0_min0_20250813_023019.json
20250813_023032,6,0.00,0.0520,0,0,0.6100,21.0800,68.6282,48,gen006_med0.00_win05_max0_min0_20250813_023032.json
20250813_023045,7,0.00,0.0540,0,0,0.6200,23.0920,77.0286,49,gen007_med0.00_win05_max0_min0_20250813_023045.json
20250813_023058,8,0.00,0.0520,0,0,0.6052,23.8180,91.9630,50,gen008_med0.00_win05_max0_min0_20250813_023058.json
20250813_023111,9,0.00,0.0460,0,0,0.6328,26.9100,123.2165,51,gen009_med0.00_win04_max0_min0_20250813_023111.json
20250813_023130,10,0.00,0.0640,0,0,0.5860,31.1900,102.5453,52,gen010_med0.00_win06_max0_min0_20250813_023130.json
20250813_023144,11,0.00,0.0480,0,0,0.6320,22.8020,96.3862,53,gen011_med0.00_win04_max0_min0_20250813_023144.json
20250813_023157,12,0.00,0.0420,0,0,0.6160,22.1940,80.4639,54,gen012_med0.00_win04_max0_min0_20250813_023157.json
20250813_023210,13,0.00,0.0440,0,0,0.5984,19.3000,58.9034,55,gen013_med0.00_win04_max0_min0_20250813_023210.json
20250813_023222,14,0.00,0.0460,0,0,0.6688,23.6520,94.6652,56,gen014_med0.00_win04_max0_min0_20250813_023222.json
20250813_023235,15,0.00,0.0560,0,0,0.6684,30.7680,118.8121,57,gen015_med0.00_win05_max0_min0_20250813_023235.json
20250813_023248,16,0.00,0.0440,0,0,0.5904,21.7200,63.5503,58,gen016_med0.00_win04_max0_min0_20250813_023248.json
20250813_023300,17,0.00,0.0520,0,0,0.5780,29.9000,104.5844,59,gen017_med0.00_win05_max0_min0_20250813_023300.json
20250813_023313,18,0.00,0.0500,0,0,0.6044,25.7900,76.4573,60,gen018_med0.00_win05_max0_min0_20250813_023313.json
